% time	cellId	IMSI	RNTI	frame	sframe	scPrdStartFr	scPrdStartSf	resPscch	sizeTb	pscchRbLen	pscchStartRb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	dropped
2916	0	2	2	293	1	293	1	24	6	1	3	0	255	10	4	0	16	255	0
2918	0	1	1	293	3	293	1	26	6	1	3	0	255	10	16	0	16	255	0
2920	0	2	2	293	5	293	1	24	6	1	31	0	255	10	4	0	16	255	0
2922	0	1	1	293	7	293	1	26	6	1	31	0	255	10	16	0	16	255	0
2956	0	2	2	297	1	297	1	80	6	1	10	0	255	10	1	0	16	255	0
2957	0	1	1	297	2	297	1	169	6	1	21	0	255	10	17	0	16	255	0
2958	0	1	1	297	3	297	1	169	6	1	49	0	255	10	17	0	16	255	0
2960	0	2	2	297	5	297	1	80	6	1	38	0	255	10	1	0	16	255	0
2960	0	3	3	297	5	297	1	151	6	1	46	0	255	10	37	0	16	255	0
2963	0	3	3	297	8	297	1	151	6	1	18	0	255	10	37	0	16	255	0
2999	0	3	3	301	4	301	1	123	6	1	15	0	255	10	30	0	16	255	0
2999	0	4	4	301	4	301	1	52	6	1	34	0	255	10	7	0	16	255	0
3000	0	2	2	301	5	301	1	151	6	1	46	0	255	10	39	0	16	255	0
3000	0	4	4	301	5	301	1	52	6	1	6	0	255	10	7	0	16	255	0
3001	0	1	1	301	6	301	1	117	6	1	14	0	255	10	28	0	16	255	0
3001	0	3	3	301	6	301	1	123	6	1	43	0	255	10	30	0	16	255	0
3002	0	1	1	301	7	301	1	117	6	1	42	0	255	10	28	0	16	255	0
3002	0	5	5	301	7	301	1	6	6	1	0	0	255	10	0	0	16	255	0
3003	0	2	2	301	8	301	1	151	6	1	18	0	255	10	39	0	16	255	0
3003	0	5	5	301	8	301	1	6	6	1	28	0	255	10	0	0	16	255	0
3037	0	2	2	305	2	305	1	89	6	1	11	0	255	10	30	0	16	255	0
3040	0	1	1	305	5	305	1	95	6	1	39	0	255	10	28	0	16	255	0
3042	0	2	2	305	7	305	1	89	6	1	39	0	255	10	30	0	16	255	0
3043	0	1	1	305	8	305	1	95	6	1	11	0	255	10	28	0	16	255	0
3076	0	2	2	309	1	309	1	105	6	1	41	0	255	10	34	0	16	255	0
3077	0	2	2	309	2	309	1	105	6	1	13	0	255	10	34	0	16	255	0
3078	0	1	1	309	3	309	1	138	6	1	17	0	255	10	8	0	16	255	0
3082	0	1	1	309	7	309	1	138	6	1	45	0	255	10	8	0	16	255	0
3117	0	2	2	313	2	313	1	25	6	1	3	0	255	10	19	0	16	255	0
