% time	cellId	IMSI	RNTI	resPscch	sizeTb	hopping	hoppingInfo	psschRbLen	psschStartRb	iTrp	mcs	l1GroupDstId	correct
2920	0	1	2	24	6	0	255	10	4	0	16	255	1
2920	0	3	2	24	6	0	255	10	4	0	16	255	1
2920	0	4	2	24	6	0	255	10	4	0	16	255	1
2920	0	5	2	24	6	0	255	10	4	0	16	255	1
2922	0	2	1	26	6	0	255	10	16	0	16	255	1
2922	0	3	1	26	6	0	255	10	16	0	16	255	1
2922	0	4	1	26	6	0	255	10	16	0	16	255	1
2922	0	5	1	26	6	0	255	10	16	0	16	255	1
2924	0	1	2	24	6	0	255	10	4	0	16	255	1
2924	0	3	2	24	6	0	255	10	4	0	16	255	1
2924	0	4	2	24	6	0	255	10	4	0	16	255	1
2924	0	5	2	24	6	0	255	10	4	0	16	255	1
2926	0	2	1	26	6	0	255	10	16	0	16	255	1
2926	0	3	1	26	6	0	255	10	16	0	16	255	1
2926	0	4	1	26	6	0	255	10	16	0	16	255	1
2926	0	5	1	26	6	0	255	10	16	0	16	255	1
2960	0	1	2	80	6	0	255	10	1	0	16	255	1
2960	0	3	2	80	6	0	255	10	1	0	16	255	1
2960	0	4	2	80	6	0	255	10	1	0	16	255	1
2960	0	5	2	80	6	0	255	10	1	0	16	255	1
2961	0	2	1	169	6	0	255	10	17	0	16	255	1
2961	0	3	1	169	6	0	255	10	17	0	16	255	1
2961	0	4	1	169	6	0	255	10	17	0	16	255	1
2961	0	5	1	169	6	0	255	10	17	0	16	255	1
2962	0	2	1	169	6	0	255	10	17	0	16	255	1
2962	0	3	1	169	6	0	255	10	17	0	16	255	1
2962	0	4	1	169	6	0	255	10	17	0	16	255	1
2962	0	5	1	169	6	0	255	10	17	0	16	255	1
2964	0	1	2	80	6	0	255	10	1	0	16	255	1
2964	0	1	3	151	6	0	255	10	37	0	16	255	1
2964	0	4	3	151	6	0	255	10	37	0	16	255	1
2964	0	4	2	80	6	0	255	10	1	0	16	255	1
2964	0	5	3	151	6	0	255	10	37	0	16	255	1
2964	0	5	2	80	6	0	255	10	1	0	16	255	1
2967	0	1	3	151	6	0	255	10	37	0	16	255	1
2967	0	2	3	151	6	0	255	10	37	0	16	255	1
2967	0	4	3	151	6	0	255	10	37	0	16	255	1
2967	0	5	3	151	6	0	255	10	37	0	16	255	1
3003	0	1	3	123	6	0	255	10	30	0	16	255	1
3003	0	1	4	52	6	0	255	10	7	0	16	255	1
3003	0	2	3	123	6	0	255	10	30	0	16	255	1
3003	0	2	4	52	6	0	255	10	7	0	16	255	1
3003	0	5	4	52	6	0	255	10	7	0	16	255	1
3003	0	5	3	123	6	0	255	10	30	0	16	255	1
3004	0	1	2	151	6	0	255	10	39	0	16	255	1
3004	0	1	4	52	6	0	255	10	7	0	16	255	1
