% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	avrgSinrPerRb
2928	0	3	1	0	16	389	0	1	0	1.71295
2928	0	3	2	0	16	389	0	1	0	5.52155
2928	0	4	1	0	16	389	0	1	0	0.364577
2928	0	4	2	0	16	389	0	1	0	0.531411
2928	0	5	1	0	16	389	0	1	0	0.16486
2928	0	5	2	0	16	389	0	1	0	0.364577
2936	0	3	1	0	16	389	1	0	0	1.71295
2936	0	3	2	0	16	389	1	0	1	5.52155
2936	0	4	1	0	16	389	1	0	0	0.364577
2936	0	4	2	0	16	389	1	0	0	0.531411
2936	0	5	1	0	16	389	1	0	0	0.16486
2936	0	5	2	0	16	389	1	0	0	0.364577
2944	0	3	1	0	16	389	2	0	1	1.71295
2944	0	3	2	0	16	389	2	0	1	5.52155
2944	0	4	1	0	16	389	2	0	0	0.364577
2944	0	4	2	0	16	389	2	0	0	0.531411
2944	0	5	1	0	16	389	2	0	0	0.16486
2944	0	5	2	0	16	389	2	0	0	0.364577
2952	0	3	1	0	16	389	3	0	1	1.71295
2952	0	3	2	0	16	389	3	0	1	5.52155
2952	0	4	1	0	16	389	3	0	0	0.364577
2952	0	4	2	0	16	389	3	0	0	0.531411
2952	0	5	1	0	16	389	3	0	0	0.16486
2952	0	5	2	0	16	389	3	0	0	0.364577
2968	0	4	1	0	16	389	0	1	0	0.364577
2968	0	4	2	0	16	389	0	1	0	0.531411
2968	0	4	3	0	16	389	0	1	0	5.52155
2968	0	5	1	0	16	389	0	1	0	0.16486
2968	0	5	2	0	16	389	0	1	0	0.364577
2968	0	5	3	0	16	389	0	1	0	1.71295
2976	0	4	1	0	16	389	1	0	0	0.364577
2976	0	4	2	0	16	389	1	0	0	0.531411
2976	0	4	3	0	16	389	1	0	1	5.52155
2976	0	5	1	0	16	389	1	0	0	0.16486
2976	0	5	2	0	16	389	1	0	0	0.364577
2976	0	5	3	0	16	389	1	0	0	1.71295
2984	0	4	1	0	16	389	2	0	0	0.364577
2984	0	4	2	0	16	389	2	0	0	0.531411
