% time	cellId	IMSI	RNTI	currFr	currSf	scPrdStartFr	scPrdStartSf	psschRbLen	psschStartRb	mcs	sizeTb	rv	dropped
2924	0	1	1	293	9	293	1	10	16	16	389	0	0
2924	0	2	2	293	9	293	1	10	4	16	389	0	0
2932	0	1	1	294	7	293	1	10	16	16	389	1	0
2932	0	2	2	294	7	293	1	10	4	16	389	1	0
2940	0	1	1	295	5	293	1	10	16	16	389	2	0
2940	0	2	2	295	5	293	1	10	4	16	389	2	0
2948	0	1	1	296	3	293	1	10	16	16	389	3	0
2948	0	2	2	296	3	293	1	10	4	16	389	3	0
2964	0	1	1	297	9	297	1	10	17	16	389	0	0
2964	0	2	2	297	9	297	1	10	1	16	389	0	0
2964	0	3	3	297	9	297	1	10	37	16	389	0	0
2972	0	1	1	298	7	297	1	10	17	16	389	1	0
2972	0	2	2	298	7	297	1	10	1	16	389	1	0
2972	0	3	3	298	7	297	1	10	37	16	389	1	0
2980	0	1	1	299	5	297	1	10	17	16	389	2	0
2980	0	2	2	299	5	297	1	10	1	16	389	2	0
2980	0	3	3	299	5	297	1	10	37	16	389	2	0
2988	0	1	1	300	3	297	1	10	17	16	389	3	0
2988	0	2	2	300	3	297	1	10	1	16	389	3	0
2988	0	3	3	300	3	297	1	10	37	16	389	3	0
3004	0	1	1	301	9	301	1	10	28	16	389	0	0
3004	0	2	2	301	9	301	1	10	39	16	389	0	0
3004	0	3	3	301	9	301	1	10	30	16	389	0	0
3004	0	4	4	301	9	301	1	10	7	16	389	0	0
3004	0	5	5	301	9	301	1	10	0	16	389	0	0
3012	0	1	1	302	7	301	1	10	28	16	389	1	0
3012	0	2	2	302	7	301	1	10	39	16	389	1	0
3012	0	3	3	302	7	301	1	10	30	16	389	1	0
3012	0	4	4	302	7	301	1	10	7	16	389	1	0
3012	0	5	5	302	7	301	1	10	0	16	389	1	0
3020	0	1	1	303	5	301	1	10	28	16	389	2	0
3020	0	2	2	303	5	301	1	10	39	16	389	2	0
3020	0	3	3	303	5	301	1	10	30	16	389	2	0
3020	0	4	4	303	5	301	1	10	7	16	389	2	0
3020	0	5	5	303	5	301	1	10	0	16	389	2	0
3028	0	1	1	304	3	301	1	10	28	16	389	3	0
3028	0	2	2	304	3	301	1	10	39	16	389	3	0
3028	0	3	3	304	3	301	1	10	30	16	389	3	0
3028	0	4	4	304	3	301	1	10	7	16	389	3	0
3028	0	5	5	304	3	301	1	10	0	16	389	3	0
3044	0	1	1	305	9	305	1	10	28	16	389	0	0
